randomisation_order,screened,initial_inclusion,final_inclusion,exclusion_reason,paper_ID,DOI,journal,article_type,author,pagecount,title,subject,publication_date,health
23,Yes,Yes,Yes,,20,10.1371/journal.pone.0212184,PLOS ONE,Research Article,"Belayneh Kefale,Minyahil Alebachew,Yewondwossen Tadesse,Ephrem Engidawork",16,Quality of life and its predictors among patients with chronic kidney disease: A hospital-based cross sectional study,"/Biology and life sciences/Biochemistry/Proteins/Hemoglobin,/Biology and life sciences/Psychology/Emotions,/Medicine and health sciences/Health care/Patients,/Medicine and health sciences/Health care/Quality of life,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Mental health and psychiatry,/Medicine and health sciences/Nephrology/Chronic kidney disease,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/People and places/Population groupings/Professions,/Social sciences/Psychology/Emotions",27/02/2019,TRUE
24,Yes,No,No,Mixed effect linear regression used,,10.1371/journal.pone.0220068,PLOS ONE,Research Article,"Ethan A Taylor,Ellen R Jordan,Jose A Garcia,Gerrit R Hagevoort,Keri N Norman,Sara D Lawhon,Juan M Piñeiro,Harvey M Scott",20,Effects of two-dose ceftiofur treatment for metritis on the temporal dynamics of antimicrobial resistance among fecal Escherichia coli in Holstein-Friesian dairy cows,"/Biology and life sciences/Agriculture/Animal management/Animal slaughter,/Biology and life sciences/Microbiology/Microbial control/Antimicrobial resistance,/Biology and life sciences/Microbiology/Microbial control/Antimicrobials/Antibiotics,/Biology and life sciences/Organisms/Bacteria/Enteric bacteria,/Biology and life sciences/Physiology/Endocrine physiology/Lactation,/Biology and life sciences/Physiology/Reproductive physiology/Lactation,/Biology and life sciences/Veterinary science/Veterinary medicine/Livestock care,/Medicine and health sciences/Endocrinology/Endocrine physiology/Lactation,/Medicine and health sciences/Pharmacology/Antimicrobial resistance,/Medicine and health sciences/Pharmacology/Drugs/Antimicrobials/Antibiotics,/Medicine and health sciences/Physiology/Endocrine physiology/Lactation,/Medicine and health sciences/Physiology/Reproductive physiology/Lactation,/Physical sciences/Mathematics/Arithmetic,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",22/07/2019,TRUE
25,Yes,No,No,Incorrect terminology used with linear regression refering to logistic regression,,10.1371/journal.pone.0208969,PLOS ONE,Research Article,"Marina E De León,Héctor Zumbado-Ulate,Adrián García-Rodríguez,Gilbert Alvarado,Hasan Sulaeman,Federico Bolaños,Vance T Vredenburg",14,Batrachochytrium dendrobatidis infection in amphibians predates first known epizootic in Costa Rica,"/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Fungal pathogens,/Biology and life sciences/Mycology/Fungal pathogens,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amphibians,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amphibians/Frogs,/Biology and life sciences/Zoology/Animal diseases/Epizootics,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens,/Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Fungal pathogens,/People and places/Geographical locations/North America/Central America/Costa Rica,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Research facilities/Museum collections",10/12/2019,TRUE
26,Yes,Yes,Yes,,21,10.1371/journal.pone.0224223,PLOS ONE,Research Article,"Declan J Ryan,Jorgen Antonin Wullems,Georgina Kate Stebbings,Christopher Ian Morse,Claire Elizabeth Stewart,Gladys Leopoldine Onambele-Pearson",14,Using isotemporal substitution to predict the effects of changing physical behaviour on older adults’ cardio-metabolic profiles,"/Biology and life sciences/Biochemistry/Lipids,/Biology and life sciences/Biochemistry/Lipids/Cholesterol,/Biology and life sciences/Biochemistry/Proteins/Lipoproteins,/Engineering and technology/Electronics/Accelerometers,/Medicine and health sciences/Cardiology,/Medicine and health sciences/Cardiovascular medicine/Cardiovascular diseases,/Medicine and health sciences/Public and occupational health/Physical activity,/People and places/Population groupings/Age groups/Elderly",23/10/2019,TRUE
27,Yes,No,No,Random effect of country included in all models.,,10.1371/journal.pone.0219918,PLOS ONE,Research Article,"Rowena M A Packer,Dan G O’Neill,Francesca Fletcher,Mark J Farnworth",23,"Great expectations, inconvenient truths, and the paradoxes of the dog-owner relationship for owners of brachycephalic dogs","/Biology and life sciences/Organisms/Eukaryota/Animals/Animal types/Pets and companion animals,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Dogs,/Biology and life sciences/Physiology/Physiological processes/Eating,/Biology and life sciences/Physiology/Physiological processes/Respiration/Breathing,/Biology and life sciences/Psychology/Behavior/Animal behavior,/Biology and life sciences/Psychology/Emotions,/Biology and life sciences/Veterinary science/Veterinary diseases,/Biology and life sciences/Zoology/Animal behavior,/Biology and life sciences/Zoology/Animal types/Pets and companion animals,/Medicine and health sciences/Dermatology/Skin infections,/Medicine and health sciences/Infectious diseases/Skin infections,/Medicine and health sciences/Physiology/Physiological processes/Eating,/Medicine and health sciences/Physiology/Physiological processes/Respiration/Breathing,/Social sciences/Psychology/Behavior/Animal behavior,/Social sciences/Psychology/Emotions",19/07/2019,TRUE
28,Yes,Yes,Yes,,22,10.1371/journal.pone.0211684,PLOS ONE,Research Article,"Dominic Bown,Antonio Belli,Kasim Qureshi,David Davies,Emma Toman,Rachel Upthegrove",14,Post-traumatic stress disorder and self-reported outcomes after traumatic brain injury in victims of assault,"/Biology and life sciences/Psychology/Emotions,/Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Traumatic injury/Neurotrauma/Traumatic brain injury,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Headaches,/Medicine and health sciences/Health care/Patients,/Medicine and health sciences/Health care/Quality of life,/Medicine and health sciences/Mental health and psychiatry/Neuropsychiatric disorders/Anxiety disorders/Post-traumatic stress disorder,/Medicine and health sciences/Mental health and psychiatry/Neuroses/Anxiety disorders/Post-traumatic stress disorder,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Headaches,/Research and analysis methods/Research design/Survey research/Questionnaires,/Social sciences/Psychology/Emotions,/Social sciences/Sociology/Criminology/Crime/Assault",7/02/2019,TRUE
29,Yes,Yes,Yes,,23,10.1371/journal.pone.0221193,PLOS ONE,Research Article,"Nuhu Amin,Mahbubur Rahman,Suraja Raj,Shahjahan Ali,Jamie Green,Shimul Das,Solaiman Doza,Momenul Haque Mondol,Yuke Wang,Mohammad Aminul Islam,Mahbub-Ul Alam,Tarique Md Nurul Huda,Sabrina Haque,Leanne Unicomb,George Joseph,Christine L Moe",21,"Quantitative assessment of fecal contamination in multiple environmental sample types in urban communities in Dhaka, Bangladesh using SaniPath microbial approach","/Earth sciences/Geography/Human geography/Neighborhoods,/Earth sciences/Hydrology/Flooding,/Earth sciences/Hydrology/Surface water,/Ecology and environmental sciences/Natural resources/Water resources,/Ecology and environmental sciences/Pollution/Water pollution,/Ecology and environmental sciences/Terrestrial environments/Urban environments,/Engineering and technology/Environmental engineering/Water management,/Medicine and health sciences/Health care/Environmental health/Sanitation,/Medicine and health sciences/Public and occupational health/Environmental health/Sanitation,/Social sciences/Human geography/Neighborhoods",16/12/2019,TRUE
30,Yes,Yes,Yes,,24,10.1371/journal.pone.0212023,PLOS ONE,Research Article,"Lutz Renders,Klemens Budde,Christian Rosenberger,Rachel van Swelm,Dorine Swinkels,Frank Dellanna,Werner Feuerer,Ming Wen,Christiane Erley,Birgit Bader,Claudia Sommerer,Matthias Schaier,Karoline Meurer,Louis Matis",16,"First-in-human Phase I studies of PRS-080#22, a hepcidin antagonist, in healthy volunteers and patients with chronic kidney disease undergoing hemodialysis","/Biology and life sciences/Biochemistry/Proteins/Protein complexes/Ferritin,/Medicine and health sciences/Hematology/Anemia,/Medicine and health sciences/Nephrology/Chronic kidney disease,/Medicine and health sciences/Nephrology/Medical dialysis,/Medicine and health sciences/Pharmaceutics/Dose prediction methods/Adjustment of dosage at steady state,/Medicine and health sciences/Pharmacology/Adverse reactions,/Medicine and health sciences/Pharmacology/Pharmacodynamics,/Medicine and health sciences/Pharmacology/Pharmacokinetics",27/03/2019,TRUE
31,Yes,Yes,Yes,,25,10.1371/journal.pone.0224752,PLOS ONE,Research Article,"S M Abdul Gaffar,Mohammod Jobayer Chisti,Mustafa Mahfuz,Tahmeed Ahmed",11,Impact of negative tuberculin skin test on growth among disadvantaged Bangladeshi children,"/Biology and life sciences/Nutrition/Malnutrition,/Biology and life sciences/Organisms/Bacteria/Actinobacteria/Mycobacterium tuberculosis,/Medicine and health sciences/Diagnostic medicine/Skin tests,/Medicine and health sciences/Diagnostic medicine/Skin tests/Tuberculin,/Medicine and health sciences/Diagnostic medicine/Tuberculosis diagnosis and management,/Medicine and health sciences/Infectious diseases/Bacterial diseases/Tuberculosis,/Medicine and health sciences/Nutrition/Malnutrition,/Medicine and health sciences/Tropical diseases/Tuberculosis,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Families/Children,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",7/11/2019,TRUE
32,Yes,No,No,"Structural equation modelling used for analysis, sample size was calculated for linear mixed model",,10.1371/journal.pone.0217970,PLOS ONE,Research Article,"Mahdi Shamali,Hanne Konradsen,Lara Stas,Birte Østergaard",13,Dyadic effects of perceived social support on family health and family functioning in patients with heart failure and their nearest relatives: Using the Actor–Partner Interdependence Mediation Model,"/Biology and life sciences/Psychology/Collective human behavior/Interpersonal relationships,/Medicine and health sciences/Cardiology/Heart failure,/Medicine and health sciences/Health care/Health care policy/Health systems strengthening,/Medicine and health sciences/Health care/Health care providers/Nurses,/Medicine and health sciences/Health care/Patients,/Medicine and health sciences/Mental health and psychiatry,/Medicine and health sciences/Public and occupational health/Behavioral and social aspects of health,/People and places/Population groupings/Professions/Medical personnel/Nurses,/Research and analysis methods/Research design/Survey research/Questionnaires,/Social sciences/Psychology/Collective human behavior/Interpersonal relationships",4/06/2019,TRUE
33,Yes,No,No,Relative weight analysis used as alternative to linear regression,,10.1371/journal.pone.0213513,PLOS ONE,Research Article,"Jerrald L Rector,Louis Tay,Christopher W Wiese,Elliot M Friedman",15,Relative sensitivity of cortisol indices to psychosocial and physical health factors,"/Biology and life sciences/Anatomy/Body fluids/Saliva,/Biology and life sciences/Anatomy/Body fluids/Urine,/Biology and life sciences/Biochemistry/Biomarkers,/Biology and life sciences/Biochemistry/Hormones/Lipid hormones/Cortisol,/Biology and life sciences/Biochemistry/Hormones/Steroid hormones/Cortisol,/Biology and life sciences/Physiology/Body fluids/Saliva,/Biology and life sciences/Physiology/Body fluids/Urine,/Biology and life sciences/Psychology/Psychological stress,/Medicine and health sciences/Anatomy/Body fluids/Saliva,/Medicine and health sciences/Anatomy/Body fluids/Urine,/Medicine and health sciences/Health care/Psychological and psychosocial issues,/Medicine and health sciences/Mental health and psychiatry,/Medicine and health sciences/Mental health and psychiatry/Mood disorders/Depression,/Medicine and health sciences/Mental health and psychiatry/Psychological stress,/Medicine and health sciences/Physiology/Body fluids/Saliva,/Medicine and health sciences/Physiology/Body fluids/Urine,/Social sciences/Psychology/Psychological stress",3/04/2019,TRUE
34,Yes,Yes,Yes,,26,10.1371/journal.pone.0222682,PLOS ONE,Research Article,"Christopher Nell,Robin Bülow,Norbert Hosten,Carsten Oliver Schmidt,Katrin Hegenscheid",16,Reference values for the cervical spinal canal and the vertebral bodies by MRI in a general population,"/Biology and life sciences/Anatomy/Musculoskeletal system/Spine,/Biology and life sciences/Anatomy/Nervous system/Neuroanatomy/Spinal cord,/Biology and life sciences/Neuroscience/Neuroanatomy/Spinal cord,/Biology and life sciences/Physiology/Physiological parameters/Body height,/Biology and life sciences/Physiology/Physiological parameters/Body weight,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Engineering and technology/Civil engineering/Transportation infrastructure/Canals,/Engineering and technology/Transportation/Transportation infrastructure/Canals,/Medicine and health sciences/Anatomy/Musculoskeletal system/Spine,/Medicine and health sciences/Anatomy/Nervous system/Neuroanatomy/Spinal cord,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Magnetic resonance imaging,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Stenosis,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Stenosis,/Medicine and health sciences/Physiology/Physiological parameters/Body height,/Medicine and health sciences/Physiology/Physiological parameters/Body weight,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Magnetic resonance imaging,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Magnetic resonance imaging",27/09/2019,TRUE
